match,market,home_team,away_team,player_name,player_team,opposition_team,price,agency
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Noor Ahmad,St Lucia Kings,Trinbago Knight Riders,3.75,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Alzarri Joseph,St Lucia Kings,Trinbago Knight Riders,4,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Khary Pierre,St Lucia Kings,Trinbago Knight Riders,4.5,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,David Wiese,St Lucia Kings,Trinbago Knight Riders,4.6,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Matthew Forde,St Lucia Kings,Trinbago Knight Riders,4.6,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Mc Kenny Clarke,St Lucia Kings,Trinbago Knight Riders,5.5,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Sadrack Descartes,St Lucia Kings,Trinbago Knight Riders,5.75,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Mikhil Govia,St Lucia Kings,Trinbago Knight Riders,6,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Roston Chase,St Lucia Kings,Trinbago Knight Riders,6.25,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Khari Campbell,St Lucia Kings,Trinbago Knight Riders,7,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Sunil Narine,Trinbago Knight Riders,Trinbago Knight Riders,3.75,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Waqar Salamkheil,Trinbago Knight Riders,Trinbago Knight Riders,3.75,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Chris Jordan,Trinbago Knight Riders,Trinbago Knight Riders,4.2,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Jayden Seales,Trinbago Knight Riders,Trinbago Knight Riders,4.5,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Akeal Hosein,Trinbago Knight Riders,Trinbago Knight Riders,4.8,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Ali Khan,Trinbago Knight Riders,Trinbago Knight Riders,5.25,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Terrance Hinds,Trinbago Knight Riders,Trinbago Knight Riders,5.25,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Dwayne Bravo,Trinbago Knight Riders,Trinbago Knight Riders,5.5,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Andre Russell,Trinbago Knight Riders,Trinbago Knight Riders,6.75,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Nathan Edward,Trinbago Knight Riders,Trinbago Knight Riders,7,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Kieron Pollard,Trinbago Knight Riders,Trinbago Knight Riders,7.5,TopSport
Trinbago Knight Riders v St Lucia Kings,Top Team Wicket Taker,Trinbago Knight Riders,St Lucia Kings,Tim David,Trinbago Knight Riders,Trinbago Knight Riders,7.5,TopSport
