match,market,home_team,away_team,team,line,over_price,under_price,agency
Guyana Amazon Warriors v Trinbago Knight Riders,Total Team Fours,Guyana Amazon Warriors,Trinbago Knight Riders,Guyana Amazon Warriors,12.5,2.04,1.72,Sportsbet
Guyana Amazon Warriors v Trinbago Knight Riders,Total Team Fours,Guyana Amazon Warriors,Trinbago Knight Riders,Trinbago Knight Riders,12.5,1.97,1.77,Sportsbet
