match,market,team,line,over_price,under_price,agency
St Lucia Kings v Trinbago Knight Riders,Fall of 1st Wicket - Team,St Lucia Kings,22.5,1.85,1.85,TopSport
St Lucia Kings v Trinbago Knight Riders,Fall of 1st Wicket - Team,Trinbago Knight Riders,18.5,1.85,1.85,TopSport
Barbados Royals v Antigua and Barbuda Falcons,Fall of 1st Wicket - Team,Antigua and Barbuda Falcons,22.5,1.85,1.85,TopSport
Barbados Royals v Antigua and Barbuda Falcons,Fall of 1st Wicket - Team,Barbados Royals,22.5,1.85,1.85,TopSport
