match,team,line,over_price,under_price,market,agency
Barbados Royals v St Kitts and Nevis Patriots,Barbados Royals,23.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
Barbados Royals v St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,23.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
Trinbago Knight Riders v Guyana Amazon Warriors,Trinbago Knight Riders,19.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
Trinbago Knight Riders v Guyana Amazon Warriors,Guyana Amazon Warriors,21.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
