match,market,home_team,away_team,team,overs,line,over_price,under_price,agency
Antigua and Barbuda Falcons v Barbados Royals,Team X Over Total Runs,Antigua and Barbuda Falcons,Barbados Royals,Antigua and Barbuda Falcons,6,48.5,1.83,1.8,Sportsbet
Antigua and Barbuda Falcons v Barbados Royals,Team X Over Total Runs,Antigua and Barbuda Falcons,Barbados Royals,Barbados Royals,6,50.5,1.83,1.83,Sportsbet
St Kitts and Nevis Patriots v St. Lucia Kings,Team X Over Total Runs,St Kitts and Nevis Patriots,St. Lucia Kings,St Kitts and Nevis Patriots,6,51.5,1.83,1.83,Sportsbet
St Kitts and Nevis Patriots v St. Lucia Kings,Team X Over Total Runs,St Kitts and Nevis Patriots,St. Lucia Kings,St. Lucia Kings,6,51.5,1.72,1.91,Sportsbet
