match,home_team,away_team,market_name,home_price,tie_price,away_price,agency
St Lucia Kings v Antigua and Barbuda Falcons,St Lucia Kings,Antigua and Barbuda Falcons,Highest Opening Partnership,1.75,21,2.02,TopSport
St Lucia Kings v Antigua and Barbuda Falcons,St Lucia Kings,Antigua and Barbuda Falcons,Highest Opening Partnership,1.75,21,1.85,TopSport
St Lucia Kings v Antigua and Barbuda Falcons,St Lucia Kings,Antigua and Barbuda Falcons,Highest Opening Partnership,1.85,21,2.02,TopSport
St Lucia Kings v Antigua and Barbuda Falcons,St Lucia Kings,Antigua and Barbuda Falcons,Highest Opening Partnership,1.85,21,1.85,TopSport
