match,team,market,line,over_price,under_price,agency
Guyana Amazon Warriors v Barbados Royals,Barbados Royals,First Over Runs - Team,5.5,1.8,1.9,BetRight
Guyana Amazon Warriors v Barbados Royals,Guyana Amazon Warriors,First Over Runs - Team,5.5,1.8,1.9,BetRight
