match,market,home_team,away_team,player_name,player_team,opposition_team,price,agency
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Alick Athanaze,Barbados Royals,St Kitts and Nevis Patriots,NA,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,David Miller,Barbados Royals,St Kitts and Nevis Patriots,NA,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Dunith Nethmika Wellalage,Barbados Royals,St Kitts and Nevis Patriots,4.9,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Jason Holder,Barbados Royals,St Kitts and Nevis Patriots,4.8,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Kadeem Alleyne,Barbados Royals,St Kitts and Nevis Patriots,NA,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Keshav Maharaj,Barbados Royals,St Kitts and Nevis Patriots,4.6,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Morawakage Maheesh Theekshana,Barbados Royals,St Kitts and Nevis Patriots,4.4,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Naveen-ul-Haq Murid,Barbados Royals,St Kitts and Nevis Patriots,4.1,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Obed McCoy,Barbados Royals,St Kitts and Nevis Patriots,4.1,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Isai Thorne,Barbados Royals,St Kitts and Nevis Patriots,5.9,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Nathan Sealy,Barbados Royals,St Kitts and Nevis Patriots,5.9,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Rahkeem Cornwall,Barbados Royals,St Kitts and Nevis Patriots,5.7,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Kevin Wickham,Barbados Royals,St Kitts and Nevis Patriots,6.5,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Nyeem Young,Barbados Royals,St Kitts and Nevis Patriots,8,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Quinton de Kock,Barbados Royals,St Kitts and Nevis Patriots,NA,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Rivaldo Clarke,Barbados Royals,St Kitts and Nevis Patriots,NA,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Rovman Powell,Barbados Royals,St Kitts and Nevis Patriots,NA,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Top Team Wicket Taker,Barbados Royals,St Kitts and Nevis Patriots,Shamarh Brooks,Barbados Royals,St Kitts and Nevis Patriots,NA,Sportsbet
Trinbago Knight Riders v Guyana Amazon Warriors,Top Team Wicket Taker,Trinbago Knight Riders,Guyana Amazon Warriors,Andre Russell,Trinbago Knight Riders,Guyana Amazon Warriors,5,Sportsbet
Trinbago Knight Riders v Guyana Amazon Warriors,Top Team Wicket Taker,Trinbago Knight Riders,Guyana Amazon Warriors,Andries Gous,Trinbago Knight Riders,Guyana Amazon Warriors,NA,Sportsbet
Trinbago Knight Riders v Guyana Amazon Warriors,Top Team Wicket Taker,Trinbago Knight Riders,Guyana Amazon Warriors,Dwayne Bravo,Trinbago Knight Riders,Guyana Amazon Warriors,4.9,Sportsbet
Trinbago Knight Riders v Guyana Amazon Warriors,Top Team Wicket Taker,Trinbago Knight Riders,Guyana Amazon Warriors,Jason Roy,Trinbago Knight Riders,Guyana Amazon Warriors,NA,Sportsbet
Trinbago Knight Riders v Guyana Amazon Warriors,Top Team Wicket Taker,Trinbago Knight Riders,Guyana Amazon Warriors,Jayden Seales,Trinbago Knight Riders,Guyana Amazon Warriors,4.3,Sportsbet
Trinbago Knight Riders v Guyana Amazon Warriors,Top Team Wicket Taker,Trinbago Knight Riders,Guyana Amazon Warriors,Joshua Little,Trinbago Knight Riders,Guyana Amazon Warriors,4.4,Sportsbet
Trinbago Knight Riders v Guyana Amazon Warriors,Top Team Wicket Taker,Trinbago Knight Riders,Guyana Amazon Warriors,Akeal Hosein,Trinbago Knight Riders,Guyana Amazon Warriors,5.3,Sportsbet
Trinbago Knight Riders v Guyana Amazon Warriors,Top Team Wicket Taker,Trinbago Knight Riders,Guyana Amazon Warriors,Keacy Carty,Trinbago Knight Riders,Guyana Amazon Warriors,NA,Sportsbet
Trinbago Knight Riders v Guyana Amazon Warriors,Top Team Wicket Taker,Trinbago Knight Riders,Guyana Amazon Warriors,Mark Deyal,Trinbago Knight Riders,Guyana Amazon Warriors,NA,Sportsbet
