match,market,home_team,away_team,line,over_price,under_price,agency
Antigua and Barbuda Falcons v St Lucia Kings,Total Match Sixes,Antigua and Barbuda Falcons,St Lucia Kings,14.5,1.78,1.96,Sportsbet
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Total Match Sixes,St Kitts and Nevis Patriots,Guyana Amazon Warriors,21.5,1.88,1.85,Sportsbet
