match,market,home_team,away_team,player_name,player_team,opposition_team,line,over_price,under_price,agency
Antigua and Barbuda Falcons v St Lucia Kings,Player Runs,Antigua and Barbuda Falcons,St Lucia Kings,Ackeem Auguste,St Lucia Kings,Antigua and Barbuda Falcons,16.5,1.95,1.77,TopSport
Antigua and Barbuda Falcons v St Lucia Kings,Player Runs,Antigua and Barbuda Falcons,St Lucia Kings,Faf Du Plessis,St Lucia Kings,Antigua and Barbuda Falcons,25.5,1.85,1.85,TopSport
Antigua and Barbuda Falcons v St Lucia Kings,Player Runs,Antigua and Barbuda Falcons,St Lucia Kings,Fakhar Zaman,Antigua and Barbuda Falcons,St Lucia Kings,24.5,1.85,1.85,TopSport
Antigua and Barbuda Falcons v St Lucia Kings,Player Runs,Antigua and Barbuda Falcons,St Lucia Kings,Johnson Charles,St Lucia Kings,Antigua and Barbuda Falcons,22.5,2.02,1.74,TopSport
Antigua and Barbuda Falcons v St Lucia Kings,Player Runs,Antigua and Barbuda Falcons,St Lucia Kings,Kofi James,Antigua and Barbuda Falcons,St Lucia Kings,16.5,1.9,1.8,TopSport
Antigua and Barbuda Falcons v St Lucia Kings,Player Runs,Antigua and Barbuda Falcons,St Lucia Kings,Sam Billings,Antigua and Barbuda Falcons,St Lucia Kings,21.5,1.9,1.8,TopSport
