match,team,line,over_price,under_price,market,agency
Antigua and Barbuda Falcons v St Kitts and Nevis Patriots,Antigua and Barbuda Falcons,22.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
Antigua and Barbuda Falcons v St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,22.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
