match,player_name,market,line,over_price,under_price,agency
Guyana Amazon Warriors v Barbados Royals,Azam Khan,Batsman Runs,15.5,1.83,1.83,BetRight
Guyana Amazon Warriors v Barbados Royals,Quinton de Kock,Batsman Runs,21.5,1.83,1.83,BetRight
Guyana Amazon Warriors v Barbados Royals,Rovman Powell,Batsman Runs,13.5,1.83,1.83,BetRight
Guyana Amazon Warriors v Barbados Royals,Shimron Hetmyer,Batsman Runs,18.5,1.83,1.83,BetRight
Guyana Amazon Warriors v Barbados Royals,Alick Athanaze,Batsman Runs,15.5,1.83,1.83,BetRight
Guyana Amazon Warriors v Barbados Royals,Kadeem Alleyne,Batsman Runs,15.5,1.83,1.83,BetRight
Guyana Amazon Warriors v Barbados Royals,Moeen Ali,Batsman Runs,15.5,1.83,1.83,BetRight
Guyana Amazon Warriors v Barbados Royals,Rahkeem Rashawn Cornwall,Batsman Runs,11.5,1.83,1.83,BetRight
Guyana Amazon Warriors v Barbados Royals,Raymon Reifer,Batsman Runs,9.5,1.83,1.83,BetRight
Guyana Amazon Warriors v Barbados Royals,Shai Hope,Batsman Runs,20.5,1.83,1.83,BetRight
