match,market,home_team,away_team,player_name,player_team,opposition_team,line,over_price,under_price,agency
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Alzarri Joseph,St Lucia Kings,Trinbago Knight Riders,0.5,1.3,NA,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Alzarri Joseph,St Lucia Kings,Trinbago Knight Riders,1.5,2.6,1.44,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Alzarri Joseph,St Lucia Kings,Trinbago Knight Riders,2.5,5.5,NA,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Alzarri Joseph,St Lucia Kings,Trinbago Knight Riders,3.5,12,NA,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Chris Jordan,Trinbago Knight Riders,St Lucia Kings,0.5,1.27,NA,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Chris Jordan,Trinbago Knight Riders,St Lucia Kings,1.5,2.4,1.51,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Chris Jordan,Trinbago Knight Riders,St Lucia Kings,2.5,5.2,NA,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Chris Jordan,Trinbago Knight Riders,St Lucia Kings,3.5,11,NA,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Imran Tahir,Guyana Amazon Warriors,Barbados Royals,0.5,1.17,NA,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Imran Tahir,Guyana Amazon Warriors,Barbados Royals,1.5,2.05,1.69,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Imran Tahir,Guyana Amazon Warriors,Barbados Royals,2.5,4.5,NA,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Imran Tahir,Guyana Amazon Warriors,Barbados Royals,3.5,9.75,NA,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Keshav Maharaj,Barbados Royals,Guyana Amazon Warriors,0.5,1.25,NA,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Keshav Maharaj,Barbados Royals,Guyana Amazon Warriors,1.5,2.3,1.55,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Keshav Maharaj,Barbados Royals,Guyana Amazon Warriors,2.5,5,NA,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Keshav Maharaj,Barbados Royals,Guyana Amazon Warriors,3.5,11,NA,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Noor Ahmad,St Lucia Kings,Trinbago Knight Riders,0.5,1.25,NA,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Noor Ahmad,St Lucia Kings,Trinbago Knight Riders,1.5,2.3,1.55,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Noor Ahmad,St Lucia Kings,Trinbago Knight Riders,2.5,5,NA,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Noor Ahmad,St Lucia Kings,Trinbago Knight Riders,3.5,11,NA,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Obed McCoy,Barbados Royals,Guyana Amazon Warriors,0.5,1.27,NA,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Obed McCoy,Barbados Royals,Guyana Amazon Warriors,1.5,2.4,1.51,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Obed McCoy,Barbados Royals,Guyana Amazon Warriors,2.5,5.2,NA,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Obed McCoy,Barbados Royals,Guyana Amazon Warriors,3.5,11,NA,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Shamar Joseph,Guyana Amazon Warriors,Barbados Royals,0.5,1.46,NA,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Shamar Joseph,Guyana Amazon Warriors,Barbados Royals,1.5,3,1.34,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Shamar Joseph,Guyana Amazon Warriors,Barbados Royals,2.5,6.5,NA,TopSport
Guyana Amazon Warriors v Barbados Royals,Player Wickets,Guyana Amazon Warriors,Barbados Royals,Shamar Joseph,Guyana Amazon Warriors,Barbados Royals,3.5,14,NA,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Waqar Salamkheil,Trinbago Knight Riders,St Lucia Kings,0.5,1.24,NA,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Waqar Salamkheil,Trinbago Knight Riders,St Lucia Kings,1.5,2.25,1.57,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Waqar Salamkheil,Trinbago Knight Riders,St Lucia Kings,2.5,4.9,NA,TopSport
Trinbago Knight Riders v St Lucia Kings,Player Wickets,Trinbago Knight Riders,St Lucia Kings,Waqar Salamkheil,Trinbago Knight Riders,St Lucia Kings,3.5,10,NA,TopSport
