match,market,home_team,away_team,line,over_price,under_price,agency
St Lucia Kings v Antigua and Barbuda Falcons,Total Match Fours,St Lucia Kings,Antigua and Barbuda Falcons,23.5,1.95,1.78,Sportsbet
Barbados Royals v St Kitts and Nevis Patriots,Total Match Fours,Barbados Royals,St Kitts and Nevis Patriots,24.5,1.98,1.76,Sportsbet
