match,player_name,player_team,line,over_price,under_price,market,agency
St Lucia Kings v Trinbago Knight Riders,A Gous,Trinbago Knight Riders,9.5,1.36,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,A Gous,Trinbago Knight Riders,17.5,1.83,1.83,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,A Gous,Trinbago Knight Riders,19.5,1.83,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,A Gous,Trinbago Knight Riders,29.5,2.5,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,A Gous,Trinbago Knight Riders,49.5,5,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,A Gous,Trinbago Knight Riders,69.5,17,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Faf du Plessis,St Lucia Kings,9.5,1.3,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Faf du Plessis,St Lucia Kings,19.5,1.66,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Faf du Plessis,St Lucia Kings,22.5,2,1.72,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Faf du Plessis,St Lucia Kings,29.5,2.1,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Faf du Plessis,St Lucia Kings,49.5,3.5,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Faf du Plessis,St Lucia Kings,69.5,5.5,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Johnson Charles,St Lucia Kings,9.5,1.33,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Johnson Charles,St Lucia Kings,19.5,1.83,1.83,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Johnson Charles,St Lucia Kings,19.5,1.83,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Johnson Charles,St Lucia Kings,29.5,2.25,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Johnson Charles,St Lucia Kings,49.5,4,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Johnson Charles,St Lucia Kings,69.5,6,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Nicholas Pooran,Trinbago Knight Riders,9.5,1.25,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Nicholas Pooran,Trinbago Knight Riders,19.5,1.53,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Nicholas Pooran,Trinbago Knight Riders,26.5,1.83,1.83,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Nicholas Pooran,Trinbago Knight Riders,29.5,1.83,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Nicholas Pooran,Trinbago Knight Riders,49.5,3,NA,Player Runs,Bet365
St Lucia Kings v Trinbago Knight Riders,Nicholas Pooran,Trinbago Knight Riders,69.5,5,NA,Player Runs,Bet365
