match,team,line,over_price,under_price,market,agency
St Kitts and Nevis Patriots v Trinbago Knight Riders,St Kitts and Nevis Patriots,6.5,2.3,1.61,First Over Runs - Team,Bet365
St Kitts and Nevis Patriots v Trinbago Knight Riders,Trinbago Knight Riders,6.5,2.1,1.72,First Over Runs - Team,Bet365
Antigua and Barbuda Falcons v Barbados Royals,Antigua and Barbuda Falcons,6.5,2.3,1.61,First Over Runs - Team,Bet365
Antigua and Barbuda Falcons v Barbados Royals,Barbados Royals,6.5,2.3,1.61,First Over Runs - Team,Bet365
