match,market,home_team,away_team,team,overs,line,over_price,under_price,agency
St Kitts and Nevis Patriots v Antigua and Barbuda Falcons,Team X Over Total Runs,St Kitts and Nevis Patriots,Antigua and Barbuda Falcons,St Kitts and Nevis Patriots,10,85.5,1.83,1.8,Sportsbet
St Kitts and Nevis Patriots v Antigua and Barbuda Falcons,Team X Over Total Runs,St Kitts and Nevis Patriots,Antigua and Barbuda Falcons,Antigua and Barbuda Falcons,10,81.5,1.8,1.83,Sportsbet
St Lucia Kings v Trinbago Knight Riders,Team X Over Total Runs,St Lucia Kings,Trinbago Knight Riders,St Lucia Kings,10,80.5,1.8,1.83,Sportsbet
St Lucia Kings v Trinbago Knight Riders,Team X Over Total Runs,St Lucia Kings,Trinbago Knight Riders,Trinbago Knight Riders,10,84.5,1.83,1.83,Sportsbet
