match,market,team,line,over_price,under_price,agency
Barbados Royals v Antigua and Barbuda Falcons,Fall of 1st Wicket - Team,Antigua and Barbuda Falcons,23.5,1.85,1.85,TAB
Barbados Royals v Antigua and Barbuda Falcons,Fall of 1st Wicket - Team,Barbados Royals,24.5,1.85,1.85,TAB
