match,market,team,line,over_price,under_price,agency
Trinbago Knight Riders v St Lucia Kings,First Over Runs - Team,Trinbago Knight Riders,5.5,1.72,1.91,Sportsbet
Trinbago Knight Riders v St Lucia Kings,First Over Runs - Team,St Lucia Kings,5.5,1.83,1.8,Sportsbet
Guyana Amazon Warriors v Barbados Royals,First Over Runs - Team,Guyana Amazon Warriors,5.5,2,1.67,Sportsbet
Guyana Amazon Warriors v Barbados Royals,First Over Runs - Team,Barbados Royals,5.5,2,1.67,Sportsbet
