match,market,home_team,away_team,team,line,over_price,under_price,agency
Trinbago Knight Riders v Barbados Royals,Total Team Sixes,Trinbago Knight Riders,Barbados Royals,Trinbago Knight Riders,9.5,2.05,1.71,Sportsbet
Trinbago Knight Riders v Barbados Royals,Total Team Sixes,Trinbago Knight Riders,Barbados Royals,Barbados Royals,6.5,1.89,1.84,Sportsbet
Guyana Amazon Warriors v St Lucia Kings,Total Team Sixes,Guyana Amazon Warriors,St Lucia Kings,Guyana Amazon Warriors,8.5,1.88,1.85,Sportsbet
Guyana Amazon Warriors v St Lucia Kings,Total Team Sixes,Guyana Amazon Warriors,St Lucia Kings,St Lucia Kings,6.5,1.98,1.77,Sportsbet
