match,market_name,home_team,home_win,away_team,away_win,margin,agency
Antigua and Barbuda Falcons v Barbados Royals,Head To Head,Antigua and Barbuda Falcons,2.2,Barbados Royals,1.66,1.057,Bet365
St Kitts and Nevis Patriots v St Lucia Kings,Head To Head,St Kitts and Nevis Patriots,2,St Lucia Kings,1.8,1.056,Bet365
