match,market,team,line,over_price,under_price,agency
Guyana Amazon Warriors v Trinbago Knight Riders,First Over Runs - Team,Guyana,6.5,2.05,1.7,TAB
Guyana Amazon Warriors v Trinbago Knight Riders,First Over Runs - Team,Trinbago,6.5,2.05,1.7,TAB
