team,line,over_price,under_price,agency,match,market
Trinbago Knight Riders,10.5,1.83,1.83,Bet365,Trinbago Knight Riders v Barbados Royals,Total Team Fours
Barbados Royals,9.5,1.72,2,Bet365,Trinbago Knight Riders v Barbados Royals,Total Team Fours
