team,line,over_price,under_price,agency,match,market
St Lucia Kings,8.5,1.72,2,Bet365,St Lucia Kings v Antigua and Barbuda Falcons,Total Team Sixes
Antigua and Barbuda Falcons,7.5,1.72,2,Bet365,St Lucia Kings v Antigua and Barbuda Falcons,Total Team Sixes
