match,market_name,home_team,home_win,away_team,away_win,margin,agency
St Kitts and Nevis Patriots v Trinbago Knight Riders,Head To Head,St Kitts and Nevis Patriots,2.45,Trinbago Knight Riders,1.53,1.062,Sportsbet
Antigua and Barbuda Falcons v Barbados Royals,Head To Head,Antigua and Barbuda Falcons,2.22,Barbados Royals,1.64,1.06,Sportsbet
