match,market_name,team,price,agency
Guyana Amazon Warriors v Barbados Royals,Highest Opening Partnership,Guyana Amazon Warriors,2.08,BetRight
Guyana Amazon Warriors v Barbados Royals,Highest Opening Partnership,Draw,23,BetRight
Guyana Amazon Warriors v Barbados Royals,Highest Opening Partnership,Barbados Royals,1.75,BetRight
