match,market,home_team,away_team,player_name,price
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Shubman Gill,4.5
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Yashasvi Jaiswal,4.7
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Abhishek Sharma,6.25
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Ruturaj Gaikwad,6
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Antum Naqvi,15
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Brian Bennet,15
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Innocent Kaia,15
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Sikandar Raza,16
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Tadiwanashe Marumani,16
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Sanju Samson,18
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Wesley Madhevere,18
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Dion Myers,19
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Riyan Parag,23
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Clive Madande,31
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Luke Jongwe,31
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Dhruv Chand Jurel,34
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Rinku Singh,34
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Shivam Dube,34
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Johnathan Campbell,51
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Brandon Mavuta,91
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Faraz Akram,91
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Wellington Masakadza,91
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Avesh Khan,101
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Blessing Muzarabani,101
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Harshit Rana,101
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Khaleel Ahmed,101
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Mukesh Kumar,101
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Ravi Bishnoi,101
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Richard Ngarava,101
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Tendai Chatara,101
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Tushar Deshpande,101
Zimbabwe v India,Top Team Run Scorer,Zimbabwe,India,Washington Sundar,101
