match,market,home_team,away_team,line,over_price,under_price,agency
Pakistan v Australia,Total Match Fours,Pakistan,Australia,25.5,1.78,1.96,Sportsbet
India v New Zealand,Total Match Fours,India,New Zealand,30.5,1.83,1.91,Sportsbet
South Africa v West Indies,Total Match Fours,South Africa,West Indies,28.5,1.97,1.77,Sportsbet
Sri Lanka v England,Total Match Fours,Sri Lanka,England,29.5,1.95,1.79,Sportsbet
