match,market,home_team,away_team,team,overs,line,over_price,under_price,agency
United Arab Emirates v Ireland,Team X Over Total Runs,United Arab Emirates,Ireland,United Arab Emirates,6,43.5,1.83,1.8,Sportsbet
United Arab Emirates v Ireland,Team X Over Total Runs,United Arab Emirates,Ireland,Ireland,6,49.5,1.8,1.93,Sportsbet
Pakistan v Australia,Team X Over Total Runs,Pakistan,Australia,Pakistan,6,50.5,1.83,1.83,Sportsbet
Pakistan v Australia,Team X Over Total Runs,Pakistan,Australia,Australia,6,56.5,1.87,1.86,Sportsbet
India v New Zealand,Team X Over Total Runs,India,New Zealand,India,6,63.5,1.8,1.83,Sportsbet
India v New Zealand,Team X Over Total Runs,India,New Zealand,New Zealand,6,54.5,1.88,1.85,Sportsbet
South Africa v West Indies,Team X Over Total Runs,South Africa,West Indies,South Africa,6,56.5,1.83,1.83,Sportsbet
South Africa v West Indies,Team X Over Total Runs,South Africa,West Indies,West Indies,6,51.5,1.8,1.94,Sportsbet
Sri Lanka v England,Team X Over Total Runs,Sri Lanka,England,Sri Lanka,6,48.5,1.8,1.83,Sportsbet
Sri Lanka v England,Team X Over Total Runs,Sri Lanka,England,England,6,56.5,1.88,1.85,Sportsbet
