match,market,home_team,away_team,team,price,agency
United Arab Emirates v Ireland,Team To Score Most Sixes,United Arab Emirates,Ireland,United Arab Emirates,2.35,Sportsbet
United Arab Emirates v Ireland,Team To Score Most Sixes,United Arab Emirates,Ireland,Draw,6.75,Sportsbet
United Arab Emirates v Ireland,Team To Score Most Sixes,United Arab Emirates,Ireland,Ireland,1.87,Sportsbet
Pakistan v Australia,Team To Score Most Sixes,Pakistan,Australia,Pakistan,2.6,Sportsbet
Pakistan v Australia,Team To Score Most Sixes,Pakistan,Australia,Draw,7.75,Sportsbet
Pakistan v Australia,Team To Score Most Sixes,Pakistan,Australia,Australia,1.68,Sportsbet
India v New Zealand,Team To Score Most Sixes,India,New Zealand,India,1.35,Sportsbet
India v New Zealand,Team To Score Most Sixes,India,New Zealand,Draw,9.25,Sportsbet
India v New Zealand,Team To Score Most Sixes,India,New Zealand,New Zealand,3.9,Sportsbet
South Africa v West Indies,Team To Score Most Sixes,South Africa,West Indies,South Africa,1.79,Sportsbet
South Africa v West Indies,Team To Score Most Sixes,South Africa,West Indies,Draw,8.5,Sportsbet
South Africa v West Indies,Team To Score Most Sixes,South Africa,West Indies,West Indies,2.35,Sportsbet
Sri Lanka v England,Team To Score Most Sixes,Sri Lanka,England,Sri Lanka,3,Sportsbet
Sri Lanka v England,Team To Score Most Sixes,Sri Lanka,England,Draw,7.5,Sportsbet
Sri Lanka v England,Team To Score Most Sixes,Sri Lanka,England,England,1.56,Sportsbet
