match,market,home_team,away_team,line,over_price,under_price,agency
Pakistan v Australia,Total Match Run Outs,Pakistan,Australia,0.5,1.64,2.15,Sportsbet
India v New Zealand,Total Match Run Outs,India,New Zealand,0.5,1.75,1.99,Sportsbet
South Africa v West Indies,Total Match Run Outs,South Africa,West Indies,0.5,1.85,1.87,Sportsbet
Sri Lanka v England,Total Match Run Outs,Sri Lanka,England,0.5,1.67,2.1,Sportsbet
