match,market,team,line,over_price,under_price,agency
United Arab Emirates v Ireland,First Over Runs - Team,United Arab Emirates,5.5,1.76,1.98,Sportsbet
United Arab Emirates v Ireland,First Over Runs - Team,Ireland,5.5,1.7,2.1,Sportsbet
Pakistan v Australia,First Over Runs - Team,Pakistan,5.5,1.7,2.07,Sportsbet
Pakistan v Australia,First Over Runs - Team,Australia,6.5,1.75,2,Sportsbet
India v New Zealand,First Over Runs - Team,India,7.5,1.8,1.94,Sportsbet
India v New Zealand,First Over Runs - Team,New Zealand,6.5,1.94,1.8,Sportsbet
South Africa v West Indies,First Over Runs - Team,South Africa,6.5,1.75,1.99,Sportsbet
South Africa v West Indies,First Over Runs - Team,West Indies,6.5,2,1.75,Sportsbet
Sri Lanka v England,First Over Runs - Team,Sri Lanka,6.5,2.04,1.72,Sportsbet
Sri Lanka v England,First Over Runs - Team,England,7.5,2,1.75,Sportsbet
