match,market,home_team,away_team,team,price,agency
United Arab Emirates v Ireland,Highest Opening Partnership,United Arab Emirates,Ireland,United Arab Emirates,2.02,Sportsbet
United Arab Emirates v Ireland,Highest Opening Partnership,United Arab Emirates,Ireland,Draw,34,Sportsbet
United Arab Emirates v Ireland,Highest Opening Partnership,United Arab Emirates,Ireland,Ireland,1.83,Sportsbet
Pakistan v Australia,Highest Opening Partnership,Pakistan,Australia,Pakistan,2.06,Sportsbet
Pakistan v Australia,Highest Opening Partnership,Pakistan,Australia,Draw,34,Sportsbet
Pakistan v Australia,Highest Opening Partnership,Pakistan,Australia,Australia,1.79,Sportsbet
India v New Zealand,Highest Opening Partnership,India,New Zealand,India,1.74,Sportsbet
India v New Zealand,Highest Opening Partnership,India,New Zealand,Draw,34,Sportsbet
India v New Zealand,Highest Opening Partnership,India,New Zealand,New Zealand,2.13,Sportsbet
South Africa v West Indies,Highest Opening Partnership,South Africa,West Indies,South Africa,1.7,Sportsbet
South Africa v West Indies,Highest Opening Partnership,South Africa,West Indies,Draw,34,Sportsbet
South Africa v West Indies,Highest Opening Partnership,South Africa,West Indies,West Indies,2.2,Sportsbet
Sri Lanka v England,Highest Opening Partnership,Sri Lanka,England,Sri Lanka,2.13,Sportsbet
Sri Lanka v England,Highest Opening Partnership,Sri Lanka,England,Draw,34,Sportsbet
Sri Lanka v England,Highest Opening Partnership,Sri Lanka,England,England,1.74,Sportsbet
