match,market,home_team,away_team,team,price,agency
United Arab Emirates v Ireland,Team of Top Batter,United Arab Emirates,Ireland,United Arab Emirates,2.5,Sportsbet
United Arab Emirates v Ireland,Team of Top Batter,United Arab Emirates,Ireland,Ireland,1.46,Sportsbet
Pakistan v Australia,Team of Top Batter,Pakistan,Australia,Pakistan,2.12,Sportsbet
Pakistan v Australia,Team of Top Batter,Pakistan,Australia,Australia,1.63,Sportsbet
India v New Zealand,Team of Top Batter,India,New Zealand,India,1.34,Sportsbet
India v New Zealand,Team of Top Batter,India,New Zealand,New Zealand,2.95,Sportsbet
South Africa v West Indies,Team of Top Batter,South Africa,West Indies,South Africa,1.38,Sportsbet
South Africa v West Indies,Team of Top Batter,South Africa,West Indies,West Indies,2.75,Sportsbet
Sri Lanka v England,Team of Top Batter,Sri Lanka,England,Sri Lanka,2.3,Sportsbet
Sri Lanka v England,Team of Top Batter,Sri Lanka,England,England,1.53,Sportsbet
