match,market,home_team,away_team,team,price,agency
United Arab Emirates v Ireland,Team To Score Most Fours,United Arab Emirates,Ireland,United Arab Emirates,2.45,Sportsbet
United Arab Emirates v Ireland,Team To Score Most Fours,United Arab Emirates,Ireland,Draw,9,Sportsbet
United Arab Emirates v Ireland,Team To Score Most Fours,United Arab Emirates,Ireland,Ireland,1.7,Sportsbet
Pakistan v Australia,Team To Score Most Fours,Pakistan,Australia,Pakistan,2.02,Sportsbet
Pakistan v Australia,Team To Score Most Fours,Pakistan,Australia,Draw,9,Sportsbet
Pakistan v Australia,Team To Score Most Fours,Pakistan,Australia,Australia,2.02,Sportsbet
India v New Zealand,Team To Score Most Fours,India,New Zealand,India,1.59,Sportsbet
India v New Zealand,Team To Score Most Fours,India,New Zealand,Draw,9.75,Sportsbet
India v New Zealand,Team To Score Most Fours,India,New Zealand,New Zealand,2.7,Sportsbet
South Africa v West Indies,Team To Score Most Fours,South Africa,West Indies,South Africa,1.48,Sportsbet
South Africa v West Indies,Team To Score Most Fours,South Africa,West Indies,Draw,9.75,Sportsbet
South Africa v West Indies,Team To Score Most Fours,South Africa,West Indies,West Indies,3.1,Sportsbet
Sri Lanka v England,Team To Score Most Fours,Sri Lanka,England,Sri Lanka,2.4,Sportsbet
Sri Lanka v England,Team To Score Most Fours,Sri Lanka,England,Draw,9.5,Sportsbet
Sri Lanka v England,Team To Score Most Fours,Sri Lanka,England,England,1.73,Sportsbet
