match,market,home_team,away_team,player_name,player_team,opposition_team,line,over_price,under_price,agency
Scotland v Australia,Player Runs,Scotland,Australia,Brandon McMullen,Scotland,Australia,18.5,2.05,1.7,TopSport
Scotland v Australia,Player Runs,Scotland,Australia,George Munsey,Scotland,Australia,20.5,1.95,1.76,TopSport
Scotland v Australia,Player Runs,Scotland,Australia,Jake Fraser-McGurk,Australia,Scotland,25.5,1.95,1.76,TopSport
Scotland v Australia,Player Runs,Scotland,Australia,Mitchell Marsh,Australia,Scotland,27.5,1.95,1.76,TopSport
Scotland v Australia,Player Runs,Scotland,Australia,Ollie Hairs,Scotland,Australia,17.5,2.05,1.65,TopSport
Scotland v Australia,Player Runs,Scotland,Australia,Travis Head,Australia,Scotland,28.5,1.9,1.8,TopSport
