match,market,home_team,away_team,player_name,player_team,opposition_team,price,agency
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Adam Zampa,Australia,Scotland,4,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Nathan Ellis,Australia,Scotland,4.2,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Sean Abbott,Australia,Scotland,4.4,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Riley Meredith,Australia,Scotland,4.6,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Xavier Bartlett,Australia,Scotland,4.6,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Marcus Stoinis,Australia,Scotland,8.5,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Cameron Green,Australia,Scotland,9.5,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Aaron Hardie,Australia,Scotland,10,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Mitchell Marsh,Australia,Scotland,10,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Mark Watt,Scotland,Australia,4,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Brad Wheal,Scotland,Australia,4.4,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Safyaan Sharif,Scotland,Australia,4.6,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Bradley Currie,Scotland,Australia,5,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Charlie Cassell,Scotland,Australia,5,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Chris Greaves,Scotland,Australia,5,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Chris Sole,Scotland,Australia,5,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Jasper Davidson,Scotland,Australia,6,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Jack Jarvis,Scotland,Australia,6.5,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Brandon McMullen,Scotland,Australia,7,TopSport
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Michael Leask,Scotland,Australia,7,TopSport
