match,market,home_team,away_team,player_name,line,over_price,agency
Scotland v Australia,Number of 4s,Scotland,Australia,Jake Fraser-McGurk,0.5,1.25,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Mitchell Marsh,0.5,1.25,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Josh Inglis,0.5,1.18,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Travis Head,0.5,1.12,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Brandon McMullen,0.5,1.36,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,George Munsey,0.5,1.3,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Ollie Hairs,0.5,1.36,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Richie Berrington,0.5,1.32,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Jake Fraser-McGurk,1.5,1.5,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Mitchell Marsh,1.5,1.55,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Josh Inglis,1.5,1.36,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Travis Head,1.5,1.25,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Brandon McMullen,1.5,1.75,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,George Munsey,1.5,1.6,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Ollie Hairs,1.5,1.75,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Richie Berrington,1.5,1.65,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Jake Fraser-McGurk,2.5,2,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Mitchell Marsh,2.5,2.1,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Josh Inglis,2.5,1.75,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Travis Head,2.5,1.5,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Brandon McMullen,2.5,2.5,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,George Munsey,2.5,2.2,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Ollie Hairs,2.5,2.5,TAB
Scotland v Australia,Number of 4s,Scotland,Australia,Richie Berrington,2.5,2.3,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Travis Head,0.5,1.35,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Jake Fraser-McGurk,0.5,1.5,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Mitchell Marsh,0.5,1.5,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Josh Inglis,0.5,1.65,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,George Munsey,0.5,1.75,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Richie Berrington,0.5,1.75,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Brandon McMullen,0.5,2,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Ollie Hairs,0.5,2.4,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Jake Fraser-McGurk,1.5,2,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Mitchell Marsh,1.5,2,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Josh Inglis,1.5,2.4,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Travis Head,1.5,1.68,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Brandon McMullen,1.5,3.25,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,George Munsey,1.5,2.6,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Ollie Hairs,1.5,4.5,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Richie Berrington,1.5,2.6,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Travis Head,2.5,2,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Jake Fraser-McGurk,2.5,2.6,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Mitchell Marsh,2.5,2.6,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Josh Inglis,2.5,3.5,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,George Munsey,2.5,4,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Richie Berrington,2.5,4,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Brandon McMullen,2.5,5.5,TAB
Scotland v Australia,Number of 6s,Scotland,Australia,Ollie Hairs,2.5,9,TAB
