match,market,home_team,away_team,player_name,player_team,opposition_team,price,agency
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Nathan Ellis,Australia,Scotland,4,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Sean Abbott,Australia,Scotland,4.2,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Adam Zampa,Australia,Scotland,4.2,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Riley Meredith,Australia,Scotland,4.5,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Xavier Bartlett,Australia,Scotland,4.5,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Aaron Hardie,Australia,Scotland,6,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Cameron Green,Australia,Scotland,7,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Marcus Stoinis,Australia,Scotland,7,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Cooper Connolly,Australia,Scotland,7.5,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Mark Watt,Scotland,Australia,4.2,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Brad Wheal,Scotland,Australia,4.2,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Bradley Currie,Scotland,Australia,5,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Charlie Cassell,Scotland,Australia,6,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Safyaan Sharif,Scotland,Australia,6,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Christopher Sole,Scotland,Australia,6,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Chris Greaves,Scotland,Australia,7,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Michael Leask,Scotland,Australia,7,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Jasper Davidson,Scotland,Australia,7,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Jack Jarvis,Scotland,Australia,8,TAB
Scotland v Australia,Top Team Wicket Taker,Scotland,Australia,Brandon McMullen,Scotland,Australia,9,TAB
