match,market,home_team,away_team,method,price,agency
Afghanistan v India,Method of 1st Dismissal (1st Innings),Afghanistan,India,Caught,1.32,Sportsbet
Afghanistan v India,Method of 1st Dismissal (1st Innings),Afghanistan,India,Bowled,5.4,Sportsbet
Afghanistan v India,Method of 1st Dismissal (1st Innings),Afghanistan,India,Leg Before Wicket,11,Sportsbet
Afghanistan v India,Method of 1st Dismissal (1st Innings),Afghanistan,India,Run Out,18,Sportsbet
Afghanistan v India,Method of 1st Dismissal (1st Innings),Afghanistan,India,Stumped,21,Sportsbet
Afghanistan v India,Method of 1st Dismissal (1st Innings),Afghanistan,India,Other,251,Sportsbet
Australia v Bangladesh,Method of 1st Dismissal (1st Innings),Australia,Bangladesh,Caught,1.35,Sportsbet
Australia v Bangladesh,Method of 1st Dismissal (1st Innings),Australia,Bangladesh,Bowled,5,Sportsbet
Australia v Bangladesh,Method of 1st Dismissal (1st Innings),Australia,Bangladesh,Leg Before Wicket,7,Sportsbet
Australia v Bangladesh,Method of 1st Dismissal (1st Innings),Australia,Bangladesh,Run Out,23,Sportsbet
Australia v Bangladesh,Method of 1st Dismissal (1st Innings),Australia,Bangladesh,Stumped,23,Sportsbet
Australia v Bangladesh,Method of 1st Dismissal (1st Innings),Australia,Bangladesh,Other,251,Sportsbet
