match,player_name,player_team,line,over_price,under_price,market,agency
NA,BJ McMullen,Scotland,9.5,1.4,NA,Player Runs,Bet365
NA,BJ McMullen,Scotland,17.5,1.83,1.83,Player Runs,Bet365
NA,BJ McMullen,Scotland,19.5,1.9,NA,Player Runs,Bet365
NA,BJ McMullen,Scotland,29.5,2.62,NA,Player Runs,Bet365
NA,BJ McMullen,Scotland,49.5,6,NA,Player Runs,Bet365
NA,BJ McMullen,Scotland,69.5,9,NA,Player Runs,Bet365
NA,HG Munsey,Scotland,9.5,1.36,NA,Player Runs,Bet365
NA,HG Munsey,Scotland,19.5,1.8,NA,Player Runs,Bet365
NA,HG Munsey,Scotland,20.5,1.83,1.83,Player Runs,Bet365
NA,HG Munsey,Scotland,29.5,2.37,NA,Player Runs,Bet365
NA,HG Munsey,Scotland,49.5,5,NA,Player Runs,Bet365
NA,HG Munsey,Scotland,69.5,6.5,NA,Player Runs,Bet365
NA,J Fraser-McGurk,Australia,9.5,1.28,NA,Player Runs,Bet365
NA,J Fraser-McGurk,Australia,19.5,1.61,NA,Player Runs,Bet365
NA,J Fraser-McGurk,Australia,24.5,1.83,1.83,Player Runs,Bet365
NA,J Fraser-McGurk,Australia,29.5,2,NA,Player Runs,Bet365
NA,J Fraser-McGurk,Australia,49.5,3,NA,Player Runs,Bet365
NA,J Fraser-McGurk,Australia,69.5,4.33,NA,Player Runs,Bet365
NA,JP Inglis,Australia,9.5,1.3,NA,Player Runs,Bet365
NA,JP Inglis,Australia,19.5,1.66,NA,Player Runs,Bet365
NA,JP Inglis,Australia,23.5,1.83,1.83,Player Runs,Bet365
NA,JP Inglis,Australia,29.5,2.1,NA,Player Runs,Bet365
NA,JP Inglis,Australia,49.5,4.5,NA,Player Runs,Bet365
NA,JP Inglis,Australia,69.5,5.5,NA,Player Runs,Bet365
NA,M Marsh,Australia,9.5,1.25,NA,Player Runs,Bet365
NA,M Marsh,Australia,19.5,1.53,NA,Player Runs,Bet365
NA,M Marsh,Australia,29.5,1.83,1.83,Player Runs,Bet365
NA,M Marsh,Australia,29.5,1.83,NA,Player Runs,Bet365
NA,M Marsh,Australia,49.5,3.4,NA,Player Runs,Bet365
NA,M Marsh,Australia,69.5,3.75,NA,Player Runs,Bet365
NA,OJ Hairs,Scotland,9.5,1.4,NA,Player Runs,Bet365
NA,OJ Hairs,Scotland,17.5,1.83,1.83,Player Runs,Bet365
NA,OJ Hairs,Scotland,19.5,1.9,NA,Player Runs,Bet365
NA,OJ Hairs,Scotland,29.5,2.62,NA,Player Runs,Bet365
NA,OJ Hairs,Scotland,49.5,6,NA,Player Runs,Bet365
NA,OJ Hairs,Scotland,69.5,8,NA,Player Runs,Bet365
NA,RD Berrington,Scotland,9.5,1.33,NA,Player Runs,Bet365
NA,RD Berrington,Scotland,18.5,1.83,1.83,Player Runs,Bet365
NA,RD Berrington,Scotland,19.5,1.72,NA,Player Runs,Bet365
NA,RD Berrington,Scotland,29.5,2.25,NA,Player Runs,Bet365
NA,RD Berrington,Scotland,49.5,5.5,NA,Player Runs,Bet365
NA,RD Berrington,Scotland,69.5,10,NA,Player Runs,Bet365
NA,TM Head,Australia,9.5,1.2,NA,Player Runs,Bet365
NA,TM Head,Australia,19.5,1.44,NA,Player Runs,Bet365
NA,TM Head,Australia,29.5,1.72,NA,Player Runs,Bet365
NA,TM Head,Australia,33.5,1.83,1.83,Player Runs,Bet365
NA,TM Head,Australia,49.5,2.37,NA,Player Runs,Bet365
NA,TM Head,Australia,69.5,3.4,NA,Player Runs,Bet365
