match,team,market,line,over_price,under_price,agency
Scotland v Australia,Australia,First Over Runs - Team,6.5,1.77,1.94,TopSport
Scotland v Australia,Scotland,First Over Runs - Team,5.5,2.05,1.69,TopSport
