match,market,home_team,away_team,team,overs,line,over_price,under_price,agency
United Arab Emirates v Ireland,Team X Over Total Runs,United Arab Emirates,Ireland,United Arab Emirates,10,68.5,1.8,1.83,Sportsbet
United Arab Emirates v Ireland,Team X Over Total Runs,United Arab Emirates,Ireland,Ireland,10,81.5,1.87,1.85,Sportsbet
Pakistan v Australia,Team X Over Total Runs,Pakistan,Australia,Pakistan,10,80.5,1.83,1.83,Sportsbet
Pakistan v Australia,Team X Over Total Runs,Pakistan,Australia,Australia,10,88.5,1.89,1.83,Sportsbet
India v New Zealand,Team X Over Total Runs,India,New Zealand,India,10,100.5,1.83,1.83,Sportsbet
India v New Zealand,Team X Over Total Runs,India,New Zealand,New Zealand,10,86.5,1.84,1.89,Sportsbet
South Africa v West Indies,Team X Over Total Runs,South Africa,West Indies,South Africa,10,90.5,1.83,1.83,Sportsbet
South Africa v West Indies,Team X Over Total Runs,South Africa,West Indies,West Indies,10,82.5,1.89,1.84,Sportsbet
Sri Lanka v England,Team X Over Total Runs,Sri Lanka,England,Sri Lanka,10,78.5,1.8,1.83,Sportsbet
Sri Lanka v England,Team X Over Total Runs,Sri Lanka,England,England,10,88.5,1.87,1.86,Sportsbet
