match,market,team,line,over_price,under_price,agency
Scotland v Australia,Fall of 1st Wicket - Team,Australia,25.5,1.85,1.85,TopSport
Scotland v Australia,Fall of 1st Wicket - Team,Scotland,17.5,1.95,1.76,TopSport
