match,market,line,over_price,under_price,agency
Kolkata v Gujarat,Match Total Sixes,18.5,1.8,1.9,TAB
Kolkata v Gujarat,Match Total Sixes,15.5,1.13,NA,TAB
Kolkata v Gujarat,Match Total Sixes,17.5,1.5,NA,TAB
Kolkata v Gujarat,Match Total Sixes,19.5,1.9,NA,TAB
Kolkata v Gujarat,Match Total Sixes,21.5,2.1,NA,TAB
Kolkata v Gujarat,Match Total Sixes,23.5,2.4,NA,TAB
Kolkata v Gujarat,Match Total Sixes,25.5,3,NA,TAB
Kolkata v Gujarat,Match Total Sixes,27.5,4,NA,TAB
Kolkata v Gujarat,Match Total Sixes,29.5,5.5,NA,TAB
