match,home_team,away_team,market,team,line,over_price,under_price,agency
Kolkata v Gujarat,Kolkata,Gujarat,Fall of 1st Wicket - Team,Gjt,31.5,1.85,1.85,TAB
Kolkata v Gujarat,Kolkata,Gujarat,Fall of 1st Wicket - Team,Kta,21.5,1.85,1.85,TAB
Lucknow v Delhi,Lucknow,Delhi,Fall of 1st Wicket - Team,Del,21.5,1.85,1.85,TAB
Lucknow v Delhi,Lucknow,Delhi,Fall of 1st Wicket - Team,Lcw,24.5,1.85,1.85,TAB
Hyderabad v Mumbai,Hyderabad,Mumbai,Fall of 1st Wicket - Team,Hyd,26.5,1.85,1.85,TAB
Hyderabad v Mumbai,Hyderabad,Mumbai,Fall of 1st Wicket - Team,Mum,23.5,1.85,1.85,TAB
Bangalore v Rajasthan,Bangalore,Rajasthan,Fall of 1st Wicket - Team,Ban,26.5,1.85,1.85,TAB
Bangalore v Rajasthan,Bangalore,Rajasthan,Fall of 1st Wicket - Team,Raj,22.5,1.85,1.85,TAB
