match,market,home_team,away_team,player_name,yes_price,no_price,agency
Gujarat Titans v Delhi Capitals,Player Fifties,Gujarat Titans,Delhi Capitals,Jos Buttler,2.88,1.33,Sportsbet
Gujarat Titans v Delhi Capitals,Player Fifties,Gujarat Titans,Delhi Capitals,KL Rahul,2.88,1.33,Sportsbet
Gujarat Titans v Delhi Capitals,Player Fifties,Gujarat Titans,Delhi Capitals,Shubman Gill,2.5,1.45,Sportsbet
Gujarat Titans v Delhi Capitals,Player Fifties,Gujarat Titans,Delhi Capitals,Jake Fraser-McGurk,5.5,1.1,Sportsbet
Gujarat Titans v Delhi Capitals,Player Fifties,Gujarat Titans,Delhi Capitals,Axar Patel,4.2,1.17,Sportsbet
Gujarat Titans v Delhi Capitals,Player Fifties,Gujarat Titans,Delhi Capitals,Sai Sudharsan,2.7,1.4,Sportsbet
Gujarat Titans v Delhi Capitals,Player Fifties,Gujarat Titans,Delhi Capitals,Abhishek Porel,3.75,1.2,Sportsbet
Gujarat Titans v Delhi Capitals,Player Fifties,Gujarat Titans,Delhi Capitals,Washington Sundar,6,1.08,Sportsbet
Rajasthan Royals v Lucknow Super Giants,Player Fifties,Rajasthan Royals,Lucknow Super Giants,Aiden Markram,3.75,1.2,Sportsbet
Rajasthan Royals v Lucknow Super Giants,Player Fifties,Rajasthan Royals,Lucknow Super Giants,Sanju Samson,3.3,1.25,Sportsbet
Rajasthan Royals v Lucknow Super Giants,Player Fifties,Rajasthan Royals,Lucknow Super Giants,Nicholas Pooran,3.1,1.3,Sportsbet
Rajasthan Royals v Lucknow Super Giants,Player Fifties,Rajasthan Royals,Lucknow Super Giants,Yashasvi Jaiswal,3.3,1.25,Sportsbet
Rajasthan Royals v Lucknow Super Giants,Player Fifties,Rajasthan Royals,Lucknow Super Giants,Riyan Parag,4,1.17,Sportsbet
Rajasthan Royals v Lucknow Super Giants,Player Fifties,Rajasthan Royals,Lucknow Super Giants,Mitchell Marsh,3.75,1.2,Sportsbet
Rajasthan Royals v Lucknow Super Giants,Player Fifties,Rajasthan Royals,Lucknow Super Giants,Rishabh Pant,4.5,1.14,Sportsbet
Rajasthan Royals v Lucknow Super Giants,Player Fifties,Rajasthan Royals,Lucknow Super Giants,Nitish Rana,4.5,1.14,Sportsbet
Punjab Kings v Royal Challengers Bengaluru,Player Fifties,Punjab Kings,Royal Challengers Bengaluru,Virat Kohli,2.5,1.4,Sportsbet
Punjab Kings v Royal Challengers Bengaluru,Player Fifties,Punjab Kings,Royal Challengers Bengaluru,Priyansh Arya,4.5,1.14,Sportsbet
Punjab Kings v Royal Challengers Bengaluru,Player Fifties,Punjab Kings,Royal Challengers Bengaluru,Shreyas Iyer,3.1,1.3,Sportsbet
Punjab Kings v Royal Challengers Bengaluru,Player Fifties,Punjab Kings,Royal Challengers Bengaluru,Phil Salt,4.33,1.17,Sportsbet
Punjab Kings v Royal Challengers Bengaluru,Player Fifties,Punjab Kings,Royal Challengers Bengaluru,Liam Livingstone,5.5,1.11,Sportsbet
Punjab Kings v Royal Challengers Bengaluru,Player Fifties,Punjab Kings,Royal Challengers Bengaluru,Josh Inglis,4.33,1.14,Sportsbet
Punjab Kings v Royal Challengers Bengaluru,Player Fifties,Punjab Kings,Royal Challengers Bengaluru,Prabhsimran Singh,4.33,1.14,Sportsbet
Punjab Kings v Royal Challengers Bengaluru,Player Fifties,Punjab Kings,Royal Challengers Bengaluru,Rajat Patidar,3.5,1.22,Sportsbet
Mumbai Indians v Chennai Super Kings,Player Fifties,Mumbai Indians,Chennai Super Kings,Shaik Rasheed,4.5,1.14,Sportsbet
Mumbai Indians v Chennai Super Kings,Player Fifties,Mumbai Indians,Chennai Super Kings,Rahul Tripathi,4.5,1.14,Sportsbet
Mumbai Indians v Chennai Super Kings,Player Fifties,Mumbai Indians,Chennai Super Kings,Rachin Ravindra,3.6,1.22,Sportsbet
Mumbai Indians v Chennai Super Kings,Player Fifties,Mumbai Indians,Chennai Super Kings,Will Jacks,4.33,1.14,Sportsbet
Mumbai Indians v Chennai Super Kings,Player Fifties,Mumbai Indians,Chennai Super Kings,Rohit Sharma,3.75,1.22,Sportsbet
Mumbai Indians v Chennai Super Kings,Player Fifties,Mumbai Indians,Chennai Super Kings,Vijay Shankar,5,1.12,Sportsbet
Mumbai Indians v Chennai Super Kings,Player Fifties,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,2.75,1.36,Sportsbet
Mumbai Indians v Chennai Super Kings,Player Fifties,Mumbai Indians,Chennai Super Kings,Ryan Rickelton,3.75,1.22,Sportsbet
