match,market_name,team,price,agency
Kolkata v Gujarat,Highest Opening Partnership,Kolkata,2.3,TAB
Kolkata v Gujarat,Highest Opening Partnership,Draw,34,TAB
Kolkata v Gujarat,Highest Opening Partnership,Gujarat,1.62,TAB
Lucknow v Delhi,Highest Opening Partnership,Lucknow,1.8,TAB
Lucknow v Delhi,Highest Opening Partnership,Draw,34,TAB
Lucknow v Delhi,Highest Opening Partnership,Delhi,2,TAB
Hyderabad v Mumbai,Highest Opening Partnership,Hyderabad,1.8,TAB
Hyderabad v Mumbai,Highest Opening Partnership,Draw,34,TAB
Hyderabad v Mumbai,Highest Opening Partnership,Mumbai,2,TAB
Bangalore v Rajasthan,Highest Opening Partnership,Bangalore,1.75,TAB
Bangalore v Rajasthan,Highest Opening Partnership,Draw,41,TAB
Bangalore v Rajasthan,Highest Opening Partnership,Rajasthan,2.05,TAB
