match,market,home_team,away_team,player_name,line,over_price,under_price,agency
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Devdutt Padikkal,4.5,1.09,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Devdutt Padikkal,9.5,1.28,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Devdutt Padikkal,14.5,1.45,NA,TAB
Bangalore v Rajasthan,Alternate Player Runs O/U,Bangalore,Rajasthan,Devdutt Padikkal,15.5,1.5,2.4,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Devdutt Padikkal,19.5,1.7,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Devdutt Padikkal,22.5,1.85,1.85,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Devdutt Padikkal,24.5,2.05,NA,TAB
Bangalore v Rajasthan,Alternate Player Runs O/U,Bangalore,Rajasthan,Devdutt Padikkal,29.5,2.4,1.5,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Devdutt Padikkal,29.5,2.4,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Devdutt Padikkal,39.5,3.3,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Devdutt Padikkal,49.5,4,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Devdutt Padikkal,74.5,12,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Devdutt Padikkal,99.5,26,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Dhruv Jurel,4.5,1.12,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Dhruv Jurel,9.5,1.36,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Dhruv Jurel,14.5,1.6,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Dhruv Jurel,19.5,1.85,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Dhruv Jurel,24.5,2.3,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Dhruv Jurel,29.5,2.7,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Dhruv Jurel,39.5,3.6,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Dhruv Jurel,49.5,4.5,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Dhruv Jurel,74.5,15,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Dhruv Jurel,99.5,26,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Nitish Rana,4.5,1.1,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Nitish Rana,9.5,1.3,NA,TAB
Bangalore v Rajasthan,Alternate Player Runs O/U,Bangalore,Rajasthan,Nitish Rana,14.5,1.5,2.4,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Nitish Rana,14.5,1.5,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Nitish Rana,19.5,1.75,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Nitish Rana,21.5,1.85,1.85,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Nitish Rana,24.5,2.1,NA,TAB
Bangalore v Rajasthan,Alternate Player Runs O/U,Bangalore,Rajasthan,Nitish Rana,28.5,2.4,1.5,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Nitish Rana,29.5,2.5,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Nitish Rana,39.5,3.4,NA,TAB
Bangalore v Rajasthan,Player Runs,Bangalore,Rajasthan,Nitish Rana,49.5,4.5,NA,TAB
