match,market,home_team,away_team,player_name,player_team,opposition_team,line,over_price,under_price,agency
India v New Zealand W,Player Runs,India,New Zealand W,Amelia Kerr,New Zealand Women,NA,19.5,1.81,1.89,TopSport
South Africa W v West Indies W,Player Runs,South Africa W,West Indies W,Anne Bosch,South Africa Women,NA,15.5,1.85,1.85,TopSport
South Africa W v West Indies W,Player Runs,South Africa W,West Indies W,Deandra Dottin,West Indies Women,NA,16.5,1.88,1.82,TopSport
India v New Zealand W,Player Runs,India,New Zealand W,Georgia Plimmer,New Zealand Women,NA,13.5,1.81,1.89,TopSport
India v New Zealand W,Player Runs,India,New Zealand W,Harmanpreet Kaur,India,New Zealand W,20.5,1.91,1.79,TopSport
South Africa W v West Indies W,Player Runs,South Africa W,West Indies W,Hayley Matthews,West Indies Women,NA,23.5,1.91,1.79,TopSport
South Africa W v West Indies W,Player Runs,South Africa W,West Indies W,Laura Wolvaardt,South Africa Women,NA,23.5,1.81,1.89,TopSport
India v New Zealand W,Player Runs,India,New Zealand W,Shefali Verma,India,New Zealand W,19.5,1.91,1.79,TopSport
India v New Zealand W,Player Runs,India,New Zealand W,Smriti Mandhana,India,New Zealand W,23.5,1.91,1.79,TopSport
South Africa W v West Indies W,Player Runs,South Africa W,West Indies W,Stafanie Taylor,West Indies Women,NA,20.5,1.85,1.85,TopSport
India v New Zealand W,Player Runs,India,New Zealand W,Suzie Bates,New Zealand Women,NA,18.5,1.85,1.85,TopSport
South Africa W v West Indies W,Player Runs,South Africa W,West Indies W,Tazmin Brits,South Africa Women,NA,18.5,1.85,1.85,TopSport
