match,market,home_team,away_team,player_name,player_team,opposition_team,price,agency
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Marizanne Kapp,SAf,South Africa,3.8,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Ayabonga Khaka,SAf,South Africa,4.5,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Sinalo Jafta,SAf,South Africa,5,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Tumi Sekhukhune,SAf,South Africa,5,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Nadine de Klerk,SAf,South Africa,5,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Nonkululeko Mlaba,SAf,South Africa,5.5,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Ayanda Hlubi,SAf,South Africa,6,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Seshnie Naidu,SAf,South Africa,7.5,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Chloe Tryon,SAf,South Africa,8,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Sune Luus,SAf,South Africa,8,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Annerie Dercksen,SAf,South Africa,9,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Anneke Bosch,SAf,South Africa,15,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Afy Fletcher,WI,South Africa,4.2,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Hayley Matthews,WI,South Africa,4.5,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Shamilia Connell,WI,South Africa,5.5,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Karishma Ramharack,WI,South Africa,5.5,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Deandra Dottin,WI,South Africa,6.5,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Qiana Joseph,WI,South Africa,7,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Chinelle Henry,WI,South Africa,7,TAB
South Africa v West Indies,Top Team Wicket Taker,South Africa,West Indies,Ashmini Munisar,WI,South Africa,7,TAB
