match,start_time,market,home_team,home_win,away_team,away_win,margin,agency
South Africa T20 Women v West Indies T20 Women,2024-10-04T10:00:00Z,Head To Head,South Africa T20 Women,1.53,West Indies T20 Women,2.5,1.054,Pointsbet
India T20 Women v New Zealand T20 Women,2024-10-04T14:00:00Z,Head To Head,India T20 Women,1.22,New Zealand T20 Women,4.3,1.052,Pointsbet
Australia T20 Women v Sri Lanka T20 Women,2024-10-05T10:00:00Z,Head To Head,Australia T20 Women,1.1,Sri Lanka T20 Women,6.9,1.054,Pointsbet
Bangladesh T20 Women v England T20 Women,2024-10-05T14:00:00Z,Head To Head,Bangladesh T20 Women,6.9,England T20 Women,1.1,1.054,Pointsbet
