match,market_name,home_team,home_win,away_team,away_win,margin,agency
Australia Women v Sri Lanka Women,Head To Head,Australia Women,1.083,Sri Lanka Women,8,1.048,Bet365
Bangladesh Women v England Women,Head To Head,Bangladesh Women,8,England Women,1.083,1.048,Bet365
India Women v Pakistan Women,Head To Head,India Women,1.14,Pakistan Women,5.5,1.059,Bet365
West Indies Women v Scotland Women,Head To Head,West Indies Women,1.2,Scotland Women,4.5,1.056,Bet365
