match,home_team,away_team,market_name,home_price,tie_price,away_price,agency
South Africa v West Indies,South Africa,West Indies,Highest Opening Partnership,1.95,26,1.87,TAB
India v New Zealand,India,New Zealand,Highest Opening Partnership,1.68,34,2.2,TAB
Australia v Sri Lanka,Australia,Sri Lanka,Highest Opening Partnership,1.55,34,2.5,TAB
Bangladesh v England,Bangladesh,England,Highest Opening Partnership,2.5,34,1.52,TAB
