match,market_name,home_team,away_team,home_win,away_win,agency,margin
South Africa v West Indies,Head To Head,South Africa,West Indies,1.6,2.3,TAB,1.06
India v New Zealand,Head To Head,India,New Zealand,1.22,4.2,TAB,1.058
Australia v Sri Lanka,Head To Head,Australia,Sri Lanka,1.1,6.5,TAB,1.063
Bangladesh v England,Head To Head,Bangladesh,England,6.5,1.1,TAB,1.063
