match,team,line,over_price,under_price,market,agency
Australia Women v Sri Lanka Women,Australia Women,24.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
Australia Women v Sri Lanka Women,Sri Lanka Women,16.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
Bangladesh Women v England Women,Bangladesh Women,14.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
Bangladesh Women v England Women,England Women,22.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
India Women v Pakistan Women,India Women,24.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
India Women v Pakistan Women,Pakistan Women,16.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
West Indies Women v Scotland Women,West Indies Women,22.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
West Indies Women v Scotland Women,Scotland Women,15.5,1.9,1.9,Fall of 1st Wicket - Team,Bet365
