team,line,over_price,under_price,agency,match,market
Australia Women,14.5,1.83,1.83,Bet365,Australia Women v Sri Lanka Women,Total Team Fours
Sri Lanka Women,11.5,2,1.72,Bet365,Australia Women v Sri Lanka Women,Total Team Fours
Bangladesh Women,9.5,1.72,2,Bet365,Bangladesh Women v England Women,Total Team Fours
England Women,12.5,1.72,2,Bet365,Bangladesh Women v England Women,Total Team Fours
