match,player_name,player_team,line,over_price,under_price,market,agency
Australia Women v Sri Lanka Women,AJ Healy,Australia Women,9.5,1.3,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,AJ Healy,Australia Women,19.5,1.66,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,AJ Healy,Australia Women,23.5,1.83,1.83,Player Runs,Bet365
Australia Women v Sri Lanka Women,AJ Healy,Australia Women,29.5,2.1,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,AJ Healy,Australia Women,49.5,3.5,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,AJ Healy,Australia Women,69.5,5.5,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,AK Gardner,Australia Women,9.5,1.44,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,AK Gardner,Australia Women,17.5,1.83,1.83,Player Runs,Bet365
Australia Women v Sri Lanka Women,AK Gardner,Australia Women,19.5,2,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,AK Gardner,Australia Women,29.5,2.62,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,AK Gardner,Australia Women,49.5,5,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,AK Gardner,Australia Women,69.5,13,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,BL Mooney,Australia Women,9.5,1.28,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,BL Mooney,Australia Women,19.5,1.61,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,BL Mooney,Australia Women,25.5,1.83,1.83,Player Runs,Bet365
Australia Women v Sri Lanka Women,BL Mooney,Australia Women,29.5,2,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,BL Mooney,Australia Women,49.5,3.25,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,BL Mooney,Australia Women,69.5,4.5,NA,Player Runs,Bet365
Australia Women v Sri Lanka Women,C Athapaththu,Sri Lanka Women,9.5,1.44,NA,Player Runs,Bet365
