match,home_team,away_team,market,player_name,line,over_price,agency,under_price
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Hayley Matthews,29.5,2.3,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Hayley Matthews,39.5,3,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Hayley Matthews,49.5,3.9,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Hayley Matthews,99.5,13,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Stafanie Taylor,9.5,1.37,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Stafanie Taylor,19.5,1.91,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Stafanie Taylor,29.5,2.6,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Stafanie Taylor,39.5,3.5,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Stafanie Taylor,49.5,4.6,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Shemaine Campbelle,9.5,1.65,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Shemaine Campbelle,19.5,2.65,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Shemaine Campbelle,29.5,4.1,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Shemaine Campbelle,39.5,6,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Shemaine Campbelle,49.5,7.5,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Smriti Mandhana,9.5,1.29,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Smriti Mandhana,19.5,1.72,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Smriti Mandhana,29.5,2.25,Pointsbet,NA
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Smriti Mandhana,39.5,2.9,Pointsbet,NA
