match,market,team,line,over_price,under_price,agency
Australia v Sri Lanka,Fall of 1st Wicket - Team,Australia,24.5,1.85,1.85,TopSport
Australia v Sri Lanka,Fall of 1st Wicket - Team,Sri Lanka,15.5,1.9,1.8,TopSport
Bangladesh v England,Fall of 1st Wicket - Team,Bangladesh,14.5,1.95,1.76,TopSport
Bangladesh v England,Fall of 1st Wicket - Team,England,24.5,1.85,1.85,TopSport
India v Pakistan,Fall of 1st Wicket - Team,India,23.5,1.85,1.85,TopSport
India v Pakistan,Fall of 1st Wicket - Team,Pakistan,15.5,1.85,1.85,TopSport
West Indies v Scotland Women,Fall of 1st Wicket - Team,Scotland Women,15.5,1.85,1.85,TopSport
West Indies v Scotland Women,Fall of 1st Wicket - Team,West Indies,22.5,1.85,1.85,TopSport
