match,market,home_team,away_team,player_name,price
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Hayley Matthews,5.1
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Laura Wolvaardt,5
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Tazmin Brits,6.75
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Stafanie Taylor,7
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Marizanne Kapp,8.75
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Anne Bosch,9.5
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Deandra Dottin,10.5
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Shemaine Altia Campbelle,13
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Annerie Dercksen,14
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Sune Luus,19
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Chloe Tryon,34
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Chedean Nation,41
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Aaliyah Alleyne,46
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Meike de Ridder,46
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Nadine de Klerk,46
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Qiana Joseph,46
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Chinelle Henry,71
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Nerissa Crafton,71
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Zaida James,71
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Afy Fletcher,101
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Ashmini Munisar,101
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Ayabonga Khaka,101
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Ayanda Hlubi,101
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Karishma Ramharack,101
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Mandy Mangru,101
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Nonkululeko Mlaba,101
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Seshnie Naidu,101
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Shamilia Shontell Connell,101
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Sinalo Jafta,101
South Africa v West Indies,Top Match Run Scorer,South Africa,West Indies,Tumi Sphindile Sekhukhune,101
India v New Zealand,Top Match Run Scorer,India,New Zealand,Smriti Mandhana,4.9
India v New Zealand,Top Match Run Scorer,India,New Zealand,Shefali Verma,6.5
India v New Zealand,Top Match Run Scorer,India,New Zealand,Harmanpreet Kaur,7
India v New Zealand,Top Match Run Scorer,India,New Zealand,Suzie Bates,7.75
India v New Zealand,Top Match Run Scorer,India,New Zealand,Amelia Kerr,8.25
India v New Zealand,Top Match Run Scorer,India,New Zealand,Jemimah Rodrigues,9.5
India v New Zealand,Top Match Run Scorer,India,New Zealand,Sophie Devine,9.75
India v New Zealand,Top Match Run Scorer,India,New Zealand,Yastika Harish Bhatia,9.5
India v New Zealand,Top Match Run Scorer,India,New Zealand,Dayalan Hemalatha,11.5
