match,team,market,line,over_price,under_price,agency
Australia v Sri Lanka,Australia,First Over Runs - Team,6.5,2,1.72,TopSport
Australia v Sri Lanka,Sri Lanka,First Over Runs - Team,5.5,2.2,1.6,TopSport
Bangladesh v England,Bangladesh,First Over Runs - Team,3.5,1.87,1.84,TopSport
Bangladesh v England,England,First Over Runs - Team,6.5,2.05,1.69,TopSport
India v Pakistan,India,First Over Runs - Team,6.5,2.05,1.69,TopSport
India v Pakistan,Pakistan,First Over Runs - Team,5.5,2.15,1.62,TopSport
West Indies v Scotland Women,Scotland Women,First Over Runs - Team,5.5,2.25,1.57,TopSport
West Indies v Scotland Women,West Indies,First Over Runs - Team,6.5,2.05,1.69,TopSport
