match,team,market,line,over_price,under_price,agency
South Africa v West Indies,West Indies,First Over Runs - Team,5.5,2.15,1.62,BetRight
South Africa v West Indies,South Africa,First Over Runs - Team,5.5,1.93,1.77,BetRight
India v New Zealand,New Zealand,First Over Runs - Team,4.5,1.78,1.92,BetRight
India v New Zealand,India,First Over Runs - Team,5.5,1.92,1.78,BetRight
Australia v Sri Lanka,Sri Lanka,First Over Runs - Team,4.5,1.82,1.88,BetRight
Australia v Sri Lanka,Australia,First Over Runs - Team,5.5,1.85,1.85,BetRight
Bangladesh v England,England,First Over Runs - Team,5.5,1.97,1.74,BetRight
Bangladesh v England,Bangladesh,First Over Runs - Team,3.5,1.92,1.78,BetRight
