match,market_name,home_team,home_win,away_team,away_win,margin,agency
Australia v Sri Lanka Women,Head To Head,Australia,1.07,Sri Lanka Women,8,1.06,Sportsbet
Bangladesh v England,Head To Head,Bangladesh,8,England,1.07,1.06,Sportsbet
India v Pakistan,Head To Head,India,1.16,Pakistan,5,1.062,Sportsbet
West Indies Women v Scotland Women,Head To Head,West Indies Women,1.14,Scotland Women,5.5,1.059,Sportsbet
